threads,processes,griddim,blocos,duration,io_alocation
1,0,0,0,22.908043,23.443079
1,0,0,0,19.119421,19.587808
1,0,0,0,19.114374,19.548547
1,0,0,0,23.053231,23.979571
1,0,0,0,21.627996,22.060848
1,0,0,0,22.953002,23.879544
1,0,0,0,17.861624,18.297611
1,0,0,0,22.892214,23.325301
1,0,0,0,22.268396,23.159573
1,0,0,0,20.91899,21.351977
1,0,0,0,24.589474,25.264526
1,0,0,0,22.949522,23.382745
1,0,0,0,22.980147,23.414602
1,0,0,0,18.106039,19.035069
1,0,0,0,23.237659,24.161661
2,0,0,0,11.468211,11.902423
2,0,0,0,11.51703,11.950451
2,0,0,0,11.518149,11.954319
2,0,0,0,11.712418,12.641197
2,0,0,0,11.519164,11.953504
2,0,0,0,11.520997,11.956648
2,0,0,0,11.65088,12.575372
2,0,0,0,11.546618,11.981254
2,0,0,0,13.894539,14.825228
2,0,0,0,13.214959,13.648805
2,0,0,0,11.549436,11.981505
2,0,0,0,11.546307,11.980202
2,0,0,0,11.549034,11.982435
2,0,0,0,11.756248,12.683197
2,0,0,0,11.561699,12.00165
4,0,0,0,6.581633,7.022861
4,0,0,0,6.580373,7.197408
4,0,0,0,6.579496,7.017465
4,0,0,0,5.995861,6.43583
4,0,0,0,5.996221,6.436825
4,0,0,0,6.581944,7.020842
4,0,0,0,5.995013,6.436014
4,0,0,0,5.995293,6.437285
4,0,0,0,5.994768,6.435241
4,0,0,0,5.993609,6.430472
4,0,0,0,6.951828,7.387344
4,0,0,0,6.594814,7.346757
4,0,0,0,6.985375,7.41982
4,0,0,0,6.295386,6.899805
4,0,0,0,6.481468,6.920166
8,0,0,0,4.351879,4.789217
8,0,0,0,4.352202,4.786182
8,0,0,0,4.142592,5.069451
8,0,0,0,4.258562,5.185921
8,0,0,0,4.641442,5.569635
8,0,0,0,4.635049,5.068936
8,0,0,0,4.857817,5.294266
8,0,0,0,4.566829,5.002424
8,0,0,0,4.548928,4.983359
8,0,0,0,4.54227,4.979239
8,0,0,0,4.627861,5.063348
8,0,0,0,4.636937,5.079686
8,0,0,0,4.635736,5.081407
8,0,0,0,4.630451,5.075254
8,0,0,0,4.91297,5.355655
16,0,0,0,4.533692,4.968578
16,0,0,0,5.01825,5.45539
16,0,0,0,5.038049,5.528371
16,0,0,0,4.463277,5.390836
16,0,0,0,4.401904,4.946011
16,0,0,0,4.973985,5.544928
16,0,0,0,4.539235,5.465613
16,0,0,0,4.415027,4.947046
16,0,0,0,4.954235,5.553678
16,0,0,0,4.468786,5.397767
16,0,0,0,4.926828,5.369296
16,0,0,0,4.993353,5.438194
16,0,0,0,4.856079,5.346871
16,0,0,0,5.150135,5.598764
16,0,0,0,5.414767,6.205986
32,0,0,0,4.979117,5.467383
32,0,0,0,4.598417,5.032911
32,0,0,0,5.082744,5.519861
32,0,0,0,4.969113,5.580689
32,0,0,0,4.493481,5.420806
32,0,0,0,4.421378,4.90625
32,0,0,0,4.587728,5.025496
32,0,0,0,4.930038,5.540904
32,0,0,0,4.510396,5.436979
32,0,0,0,4.576082,5.073536
32,0,0,0,4.993523,5.919698
32,0,0,0,5.020867,5.454049
32,0,0,0,5.079332,5.511773
32,0,0,0,5.112062,5.552211
32,0,0,0,5.352027,6.05405
